mag_x_raw,mag_y_raw,mag_z_raw
155,-18,41
154,-18,40
155,-18,40
155,-18,40
155,-20,42
155,-21,42
155,-22,42
155,-23,42
155,-25,42
155,-25,43
155,-25,43
154,-29,42
153,-34,41
152,-39,39
151,-47,41
149,-56,46
147,-65,53
146,-73,61
143,-79,65
140,-85,68
137,-92,73
134,-97,78
131,-100,83
128,-104,89
124,-105,95
122,-106,100
120,-106,104
118,-106,108
117,-106,113
115,-105,118
111,-104,124
108,-102,131
105,-99,137
102,-95,145
99,-90,151
97,-84,156
94,-77,162
91,-70,168
86,-62,174
77,-47,185
71,-38,189
65,-30,193
59,-22,197
53,-14,200
47,-6,203
42,1,205
35,9,207
30,16,208
22,21,209
16,28,210
9,33,210
3,37,211
-3,40,211
-9,44,211
-16,47,211
-22,50,211
-29,53,210
-35,56,210
-40,59,209
-45,62,207
-52,64,206
-59,66,205
-65,69,203
-72,71,201
-80,72,199
-87,74,196
-92,74,194
-96,75,192
-100,76,191
-104,77,189
-108,77,187
-112,77,185
-116,77,182
-120,77,180
-123,77,178
-129,76,176
-133,76,172
-136,75,171
-139,74,169
-143,73,166
-145,72,164
-148,71,162
-151,69,160
-154,68,158
-156,67,157
-156,66,156
-159,65,154
-161,64,153
-165,61,148
-169,60,145
-171,58,142
-173,57,140
-174,56,138
-176,54,136
-177,53,135
-178,50,132
-180,47,131
-182,46,130
-182,44,130
-181,44,130
-181,43,131
-181,40,133
-180,36,136
-178,33,139
-177,33,142
-175,33,144
-173,36,147
-170,37,150
-168,38,153
-166,40,155
-163,43,157
-161,45,158
-159,50,159
-156,53,161
-151,57,164
-148,59,166
-142,63,169
-136,68,172
-130,72,175
-123,76,178
-115,80,180
-106,84,183
-98,86,186
-90,88,188
-83,90,189
-76,93,190
-71,95,190
-66,97,190
-58,98,191
-52,100,191
-45,103,190
-38,106,188
-29,108,188
-20,111,186
-10,114,183
0,117,180
9,119,177
9,119,177
35,124,165
44,124,161
51,124,157
57,124,154
62,124,152
68,122,149
73,121,145
78,120,142
82,120,137
87,120,133
91,120,129
95,120,124
99,119,119
103,118,113
107,117,108
110,115,103
114,113,98
118,110,93
122,106,90
125,103,87
127,100,84
129,97,82
131,95,81
132,93,79
133,91,79
134,89,78
136,87,77
137,85,75
139,82,73
139,81,72
140,80,69
141,79,68
141,77,65
141,75,62
143,72,57
144,68,53
145,65,48
145,61,43
144,59,37
144,56,32
144,52,28
142,49,23
141,48,20
139,48,17
138,48,13
136,47,9
133,48,8
132,51,6
130,60,9
130,63,10
130,65,11
128,65,10
125,69,7
122,71,4
119,73,1
115,74,-3
112,73,-6
109,75,-8
105,79,-10
100,79,-14
95,78,-20
89,75,-26
82,72,-31
73,68,-37
66,62,-43
58,58,-47
52,54,-50
49,52,-52
47,48,-53
45,44,-54
44,41,-55
42,38,-57
40,37,-57
39,34,-58
38,31,-59
36,28,-59
35,23,-60
30,23,-61
26,20,-62
21,14,-63
14,9,-64
6,6,-65
-2,2,-65
-9,-1,-66
-16,-4,-66
-21,-6,-65
-27,-9,-65
-33,-11,-64
-40,-13,-63
-47,-14,-62
-53,-15,-61
-61,-14,-59
-68,-15,-57
-74,-15,-55
-80,-16,-54
-85,-16,-52
-90,-17,-49
-104,-18,-43
-111,-17,-39
-119,-16,-35
-126,-16,-31
-133,-15,-27
-140,-14,-22
-147,-12,-16
-152,-12,-12
-155,-12,-9
-158,-12,-6
-161,-12,-2
-165,-12,3
-169,-10,8
-173,-9,13
-176,-8,18
-179,-5,23
-183,-2,29
-186,0,34
-188,2,41
-191,2,47
-193,3,53
-194,5,59
-195,11,66
-197,15,72
-197,20,78
-196,24,83
-196,27,86
-196,31,88
-195,35,89
-194,40,89
-193,45,92
-192,49,93
-191,53,94
-190,58,95
-188,62,94
-188,67,94
-186,70,94
-185,74,92
-184,79,91
-181,85,90
-178,91,89
-174,97,86
-171,102,84
-169,107,82
-167,109,79
-165,113,75
-164,114,70
-161,116,64
-158,117,57
-155,116,46
-153,116,40
-151,116,34
-147,115,28
-143,114,21
-139,112,14
-135,110,6
-131,106,-1
-127,103,-6
-122,99,-12
-118,96,-16
-115,94,-20
-111,94,-22
-107,96,-24
-102,98,-25
-97,100,-27
-92,104,-27
-89,109,-26
-86,115,-23
-85,120,-20
-84,125,-16
-86,129,-12
-89,134,-6
-95,140,4
-101,146,16
-107,151,29
-111,154,40
-115,155,48
-119,155,55
-125,152,61
-132,148,69
-140,142,79
-147,133,89
-155,124,97
-162,114,105
-166,104,112
-170,94,118
-174,84,121
-177,74,126
-179,63,130
-179,52,135
-179,43,141
-177,32,146
-174,22,151
-171,13,155
-170,4,158
-168,-4,160
-166,-13,161
-162,-35,160
-161,-46,156
-161,-59,151
-161,-71,143
-161,-81,135
-160,-89,126
-161,-95,118
-160,-100,109
-160,-104,98
-159,-108,87
-159,-109,77
-157,-108,67
-157,-107,56
-155,-105,44
-151,-101,33
-148,-98,24
-145,-93,15
-142,-85,5
-137,-76,-5
-131,-68,-15
-124,-62,-22
-115,-55,-30
-105,-50,-37
-95,-43,-44
-83,-35,-50
-71,-30,-54
-60,-24,-57
-50,-16,-60
-41,-9,-62
-31,-4,-64
-19,3,-64
-7,9,-65
4,17,-64
17,25,-61
29,33,-59
39,41,-55
48,48,-51
56,54,-47
63,59,-43
70,63,-39
77,67,-34
82,72,-29
89,76,-22
97,79,-15
104,81,-7
111,82,0
116,82,7
120,81,14
128,80,26
133,78,32
136,77,39
139,74,47
142,71,53
143,67,58
145,65,61
146,62,63
147,59,64
148,57,67
149,55,70
151,52,72
151,48,73
153,44,73
153,40,72
154,36,70
155,33,68
156,30,66
156,27,63
157,24,62
157,19,60
158,13,58
158,4,55
158,-2,51
157,-8,47
156,-11,43
155,-15,40
154,-19,37
154,-22,35
152,-27,32
151,-30,29
149,-32,24
146,-32,18
143,-33,14
141,-34,9
137,-35,3
131,-34,-5
125,-33,-12
117,-32,-19
110,-33,-26
101,-31,-34
89,-29,-41
78,-25,-48
67,-20,-53
57,-15,-56
45,-9,-61
33,-4,-63
20,2,-64
20,14,-67
-22,19,-66
-36,26,-65
-49,30,-62
-62,34,-59
-73,37,-56
-83,41,-52
-91,43,-48
-100,45,-44
-110,47,-39
-119,49,-33
-128,51,-27
-137,52,-20
-147,52,-12
-154,53,-5
-160,53,2
-165,53,8
-169,52,13
-173,51,18
-176,48,23
-179,44,28
-183,42,32
-186,39,37
-187,38,41
-189,37,45
-191,35,48
-192,33,51
-193,30,54
-194,28,57
-195,26,62
-197,24,69
-198,22,77
-198,20,86
-197,19,95
-196,18,103
-195,16,108
-195,15,111
-195,15,111
-195,16,109
-195,15,106
-196,13,102
-197,11,98
-197,9,94
-197,9,92
-198,8,89
-197,9,88
-198,10,86
-198,10,84
-197,11,80
-197,11,69
-196,12,66
-196,13,63
-196,14,63
-196,15,64
-196,16,66
-197,16,70
-196,16,73
-198,17,79
-197,15,84
-197,11,91
-197,5,97
-196,-2,102
-194,-7,108
-193,-11,113
-191,-16,118
-188,-20,123
-186,-24,127
-183,-28,132
-180,-30,137
-175,-32,144
-170,-33,150
-165,-35,156
-160,-37,160
-155,-39,165
-149,-41,170
-142,-44,175
-136,-49,178
-129,-53,181
-123,-56,184
-116,-60,187
-109,-63,189
-98,-68,192
-83,-73,196
-64,-80,198
-44,-86,198
-26,-89,197
-8,-90,196
6,-90,194
17,-91,192
26,-94,188
34,-98,183
41,-100,180
48,-102,176
55,-103,172
62,-104,168
68,-106,164
74,-107,160
85,-105,152
90,-104,148
94,-104,144
97,-106,139
101,-110,132
104,-112,124
109,-113,117
112,-112,110
116,-111,104
119,-111,99
122,-110,94
124,-109,88
126,-107,82
129,-104,78
133,-98,76
136,-92,74
139,-86,71
142,-81,69
145,-75,64
147,-69,59
148,-62,55
150,-55,53
152,-45,51
154,-36,51
156,-27,51
156,-20,50
156,-15,47
156,-13,44
155,-11,42
155,-10,39
155,-9,37
154,-6,35
154,-3,33
153,0,32
153,2,31
153,3,30
153,2,29
152,5,27
150,6,24
149,8,21
148,10,18
145,12,14
143,10,9
141,7,5
138,6,1
136,7,-3
132,10,-7
129,13,-10
129,9,-15
125,7,-15
127,6,-14
126,6,-15
124,4,-18
120,3,-21
118,4,-23
116,6,-25
113,7,-27
109,10,-31
102,13,-35
92,14,-41
86,15,-45
84,14,-46
83,11,-45
84,7,-46
82,6,-47
79,3,-47
80,1,-48
80,1,-48
83,0,-47
83,-1,-47
80,-2,-48
75,2,-50
69,6,-52
64,10,-54
58,16,-56
53,19,-57
46,25,-59
39,28,-60
29,34,-61
20,38,-62
9,43,-62
-1,48,-62
-12,52,-61
-22,54,-60
-31,55,-60
-41,55,-58
-50,57,-56
-61,57,-54
-72,57,-52
-81,56,-48
-90,55,-45
-101,55,-40
-112,54,-36
-121,52,-30
-131,49,-25
-139,46,-19
-145,43,-14
-156,36,-7
-161,32,-1
-165,27,4
-170,21,9
-174,16,12
-175,11,15
-177,6,17
-178,-1,20
-180,-9,23
-180,-17,25
-181,-25,29
-180,-32,30
-179,-36,30
-180,-38,31
-179,-36,30
-179,-32,27
-179,-28,26
-180,-25,25
-179,-22,25
-180,-21,26
-181,-21,28
-183,-21,29
-183,-24,31
-183,-27,33
-183,-30,34
-183,-32,36
-184,-35,39
-184,-39,42
-185,-43,45
-185,-45,49
-186,-48,53
-187,-50,59
-188,-50,67
-189,-49,75
-191,-46,81
-191,-43,86
-191,-42,91
-189,-46,99
-186,-54,106
-179,-62,114
-172,-71,123
-164,-79,132
-154,-84,142
-144,-85,153
-133,-85,162
-123,-86,169
-113,-89,175
-99,-98,177
-68,-115,176
-51,-122,175
-39,-127,174
-30,-131,170
-19,-135,167
-7,-136,165
7,-136,163
20,-137,160
32,-136,157
41,-136,152
48,-138,148
53,-137,145
57,-137,142
61,-138,138
67,-138,134
75,-134,130
85,-130,126
94,-124,123
102,-118,121
108,-112,119
114,-104,118
121,-95,117
127,-86,115
131,-79,114
134,-72,116
135,-66,118
135,-60,121
134,-54,126
134,-48,129
135,-43,130
137,-38,127
140,-32,125
144,-24,121
146,-17,116
149,-12,109
153,-8,101
155,-9,91
157,-12,81
158,-15,73
159,-16,66
159,-16,61
159,-14,58
158,-16,56
158,-17,55
158,-18,53
158,-18,51
157,-20,47
156,-21,44
152,-25,34
152,-26,29
150,-25,28
151,-24,29
151,-21,29
151,-23,28
149,-28,24
146,-31,20
143,-31,14
141,-31,10
140,-33,9
141,-34,10
142,-35,13
144,-33,15
145,-30,16
145,-30,18
146,-30,19
146,-30,20
147,-28,21
147,-26,20
147,-25,19
146,-24,17
145,-23,15
143,-21,12
142,-20,10
142,-18,10
142,-16,10
141,-15,8
139,-12,4
135,-10,-2
131,-8,-8
125,-6,-15
119,-4,-20
114,-3,-25
108,-2,-29
103,-2,-33
98,-1,-36
94,0,-39
91,1,-41
87,2,-43
81,3,-46
75,3,-48
70,3,-51
63,4,-54
57,4,-55
51,4,-57
44,4,-58
36,2,-61
19,0,-64
10,-2,-64
2,-4,-65
-7,-6,-66
-16,-8,-65
-26,-10,-64
-33,-12,-63
-41,-15,-62
-49,-17,-61
-56,-20,-59
-65,-23,-56
-75,-25,-53
-83,-28,-50
-89,-30,-48
-95,-33,-45
-100,-35,-42
-105,-36,-40
-111,-38,-36
-118,-40,-32
-125,-41,-27
-131,-42,-22
-138,-42,-17
-144,-43,-11
-148,-45,-6
-153,-47,-2
-157,-48,4
-161,-49,9
-166,-50,17
-171,-50,24
-176,-48,32
-180,-47,40
-184,-44,46
-186,-42,52
-187,-39,55
-189,-36,58
-190,-35,59
-190,-32,60
-191,-30,62
-192,-28,63
-192,-25,66
-193,-24,68
-194,-22,69
-194,-22,70
-193,-23,70
-193,-25,71
-193,-28,73
-192,-33,76
-192,-35,81
-192,-32,85
-193,-32,84
-192,-37,87
-190,-40,90
-189,-44,94
-188,-42,101
-187,-41,107
-185,-36,115
-185,-32,120
-184,-31,123
-183,-33,123
-183,-32,125
-181,-29,129
-180,-27,133
-179,-22,136
-178,-18,140
-176,-16,142
-175,-11,145
-173,-9,148
-170,-6,154
-164,-1,161
-156,7,168
-147,16,174
-140,24,180
-134,31,183
-129,37,185
-122,43,187
-115,51,190
-104,60,192
-92,70,193
-78,80,194
-65,88,193
-51,95,192
-40,102,190
-31,107,187
-25,112,184
-21,115,182
-19,119,180
-16,125,175
-9,129,171
-2,133,167
7,136,161
16,138,157
28,138,153
41,139,144
56,138,136
69,136,128
80,131,122
89,127,117
102,121,105
107,119,99
111,115,92
116,111,85
120,107,78
124,104,69
126,100,59
128,95,48
129,88,39
131,82,33
132,77,29
134,72,27
